RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP Learnability,Last Graduation,RFP Communicability,RFP Avg TRACK Score,TechCategory,Year,Practice Head
74.0,0,2,3.41,1.29,1.41,5,0.74,3.43,0,2016.0,3
96.0,2,3,3.8,1.48,1.47,4,0.74,3.69,2,2019.0,3
90.0,0,2,3.89,1.54,1.56,2,0.79,3.89,2,2019.0,0
99.0,0,2,3.68,1.34,1.5,5,0.85,3.68,0,2018.0,0
72.0,1,3,3.33,1.31,1.33,0,0.7,3.34,1,2022.0,0
74.0,1,2,3.26,1.31,1.38,4,0.72,3.41,1,2022.0,0
91.0,1,2,2.7,0.93,1.16,0,0.56,2.65,1,2015.0,0
86.0,0,3,3.84,1.48,1.63,4,0.78,3.89,2,2021.0,4
94.0,0,3,3.64,1.48,1.48,3,0.81,3.77,0,2017.0,4
100.0,1,2,3.53,1.39,1.54,4,0.78,3.71,0,2017.0,1
95.0,1,2,3.26,1.2,1.5,4,0.79,3.49,2,2018.0,0
96.0,1,2,3.33,1.27,1.45,3,0.79,3.51,3,2021.0,0
